"","deltaPSI","pvalue","lfdr","qvalues"
"23_1",0.943571208473394,0,1.69700297488657e-06,0
"125_1",-0.272166660471682,0.0207893054050998,0.987252239080867,0.197498401348448
"4_1",-0.128680099134915,0.28261815638984,0.987252239082162,1
"141_1",-0.0285601429357346,0.441941380041939,0.98725223908249,1
"61_1",-0.156349953193331,0.516647068255132,0.987252239082726,1
"47_1",0.0871375275665486,0.551198616053717,0.987252239082852,1
"208_1",0.0107565068982678,0.608855296501594,0.98725223908306,1
"110_1",-0.0977336781979841,0.622627306689631,0.987252239083777,1
"35_1",0.117453783028443,0.62406599980395,0.987252239083855,1
"63_1",0.0209599956642263,0.655012957822331,0.987252239084055,1
"24_1",0.0551913929458392,0.68044088039709,0.987252239084113,1
"52_1",-0.0360369393624102,0.769974626765032,0.987252239084239,1
"1_2",0.0235476149181719,0.827909930216271,0.987252239084334,1
"99_1",-0.0204146530822764,0.879522049980075,0.987252239084507,1
"66_1",-0.00506417595078172,0.885331034093916,0.987252239084535,1
"187_1",0.0371576443509782,0.915582867957559,0.987252239084705,1
"1_1",0.0228932273497579,0.95513079854148,0.98725223908499,1
"127_1",-0.00134048669313447,0.96151700834849,0.987252239085052,1
"194_1",1.66533453693773e-16,1,0.9872522390858,1
